英語,日本語
"Hinoto-sai, the ""Hinotosai"" Oil God Festival",日使頭祭（ヒノトウサイ）
Hikoimasuno-miko,日子坐王（ひこいますのみこ）
agreement to prevent communist between Japan and China,日支間の防共協定
Hieno-yama Mountain,日枝山
Hie-Jinja Shrine,日枝神社
Hinami-kiji (guidebook of annual events in Kyoto and surrounding area),日次紀事
Nichijitsu,日実
Nichiju,日寿
Nichiju,日樹
Nisshu,日秀
Nisshu-in,日秀院
Nichiju,日什
Nichiju,日充
Nichiju,日重
Hiji Domain,日出藩
Nichijun,日遵
Nichijo shonin,日承上人
Nissho,日紹
Nichijo Shonin,日乗上人
Nisshin,日親
Nisshin,日進
Nissei,日成
Nissei,日政
Nisshin Seifun Group Inc.,日清製粉
"Head Office, Nisshin Seifun Group Inc.",日清製粉グループ本社
Sino-Japanese War,日清戦争
Nissei Express,日生エクスプレス
Nissei-chuo Station,日生中央駅
Nichijo,日静
Nisseki-ji Temple,日石寺
Nagaoka Red Cross Hospital,日赤病院 (長岡赤十字病院)
Nissen entered into the temple.,日扇が入山
Nissen Shonin,日扇上人
Nichinen,日然
Nichizen,日禅
the trade beween Japan and Sung Dynasty in China,日宋貿易
Nissokan-zu,日想観図
Nichizo,日像
Nichizo Shonin,日像上人
Nisshu,日袖
Nichizon,日尊
Nichidai,日代
Nichidai,日大
Nichidatsu,日達
Nisshin,日辰
"Hekigasumi (the target pattern of Insai-ha school, supposed the target as a human body)",日置霞（へきがすみ）
Heki-yoshida school,日置吉田流
Heki-yoshida school group,日置吉田流一門
Hiki-gawa River,日置川
Hiokimae abondoned temple ruins,日置前廃寺跡
Danjo HEKI,日置弾正
Masatsugu Danjo HEKI,日置弾正正次
Toyohide Danjo HEKI,日置弾正豊秀
Heki-to-ryu school,日置当流
teachers house of Hekito-ryu school,日置当流師家
Noritsugu Yazaemon HEKI,日置弥左衛門範次
Heki school,日置流
"Insai group of Heiki school, Shionosaki Onkyu Hozonkai (Preservation Society of archery in Shionosaki)",日置流印西派塩崎御弓保存会
Yoshida group of Heki school,日置流吉田派
"Yamato-Heki keito group, Heki school",日置流大和日置系統
Chikurin group of Heiki school,日置流竹林派（ちくりんは）
Dosha-ryu group of Heki school,日置流堂射流派
"alliance of Japan, China and Korea",日中韓同盟
Sino-Japanese war,日中戦争
the relationship between Korea and Japan,日朝関係
Parliamentary Association for the Friendship between Japan and Korea,日朝友好議員連盟
Nichinao Family,日直家
Nittsu,日通
portrait of Abbot Nitsu Shonin,日通上人像
"Nitten, Surya, Aditya",日天（wSurya、Aditya）
Hita,日田
Hita Gion Matsuri Festival,日田祇園祭
Hita City,日田市
Nitto,日東
"Nitto Seiko Co.,Ltd.",日東精工
Hinatayama-onsen Hot Spring,日当山温泉
Nichido,日道
Tripartite Military Pact,日独伊三国軍事同盟
"alliance of Japan, Germany and Italy",日独伊三国同盟
Parliamentary Association for the Friendship between Japan and Germany,日独友好議員連盟
Nichinan City,日南市
Nichinichiki,日々記
Hibi Kore Kojitsu (enjoy everyday life),日々是好日
Nichinyo Hoshu,日如法主
Hinodeinari-jinja Shrine,日乃出稲荷神社
"Hinode Kagaku Kogyo Kaisha, Ltd.",日之出化学工業
Nikkei,日肇
Hibiya,日比谷
Nippo jisho (Japanese-Portuguese dictionary),日葡辞書
Nichien,日淵
Consortium japonais du Collège doctoral franco-japonais,日仏共同博士課程コンソーシアム
the Franco-Japanese Society,日仏協会
Japan-U.S. summit,日米首脳会談
The Treaty of Amity and Commerce between the United States and Japan,日米修好通商条約
draft of understood by Japan and the U.S.,日米諒解案
Treaty between the United States of America and the Empire of Japan (Treaty of Kanagawa),日米和親条約（神奈川条約）
Soshun NIPPO,日峰宗舜
Nippo Main Line,日豊本線
Japan Ice Cream Association,日本アイスクリーム協会
Nippon Access Inc.,日本アクセス
"Japan Air Commuter Co.,Ltd.",日本エアコミューター
Nippon Otis Elevator Company,日本オーチス
the Japanese Olympic Committee,日本オリンピック委員会
Japanese serow,日本カモシカ
"Kyoto Marutamachi Church, the United Church of Christ in Japan",日本キリスト教会 (日本キリスト教団) 京都丸太町教会
United Church of Christ in Japan,日本キリスト教団
United Church of Christ in Japan Kyoto Church,日本キリスト教団京都教会
Nippon Christian Academy,日本クリスチャンアカデミー
Japan Football Association,日本サッカー協会
"Japan Speed Shore Co., LTD.",日本スピードショア（株）
Japan Tobacco,日本たばこ産業
JT Kyoto kaikan,日本たばこ産業京都会館
Nippon Television Network,日本テレビ
Nippon Television Network Corporation,日本テレビ放送網
Japanese Oni Museum,日本の鬼の交流博物館
the best four picture scroll of Japan,日本の四大絵巻物
image statues in Japan,日本の肖像彫刻
Drumming of Japan JAKOMOKO JANKO,日本の太鼓「ジャコモコ・ジャンコ」
Tarobo in Japan,日本の太郎房
history of medieval Japanese literature,日本の中世文学氏
the 100 best roads in Japan,日本の道100選
Japanese martial arts Kyudo archery and Naginata (long-handled sword),日本の武道　弓道・なぎなた
the history of Buddhist sculpture in Japan,日本の仏像彫刻史
Japanese abbot architecture,日本の方丈建築
"Nihon-no-aji Hakuran (""taste of Japan"" expo)",日本の味博覧
The Japan Baptist Hospital,日本バプテスト病院
Nippon Ham Group,日本ハムグループ
"Nippon Pillar Packing Co., Ltd.",日本ピラー株式会社
Japan Professional Football League,日本プロサッカーリーグ
"Nippon Milk Community Co.,Ltd.",日本ミルクコミュニティ
The Japan Methodist Church,日本メソジスト教会
Nippop Luna Inc.,日本ルナ
The Japan Falconiformes Center,日本ワシタカ研究センター
the Kansai Branch of Japan Society of Medical History,日本医史学会関西支部
Nihonisshi History Book,日本逸史
Nihon Onmyodo-shi Sosetsu,日本陰陽道史総説
Nihon Ojo Gokuraku-ki,日本往生極楽記
Japan Freight Railway Company,日本貨物鉄道
Japanese-style painting,日本画
Nihonga (Japanese painting),日本画コース
Japanese-style painter,日本画家
Japanese art world,日本画壇
Center of Japanese Corporation Laws Studies,日本会社法制研究センター
Japan Sea,日本海
Nihonkai Kaisen (Naval battle of Japan sea),日本海海戦
Imperial Japanese Navy,日本海軍
climate of Japan Sea area,日本海側気候
NIHONKAI-TOHOKU EXPRESSWAY,日本海東北自動車道
Japanese paintings,日本絵画
Nihon Gaishi (historical book on Japan),日本外史
Japan Student Support Association,日本学生支援機構(JASSO)
United Church of Christ in Japan,日本基督教団
Nihongi (the six classical Japanese history texts),日本紀
Otsubone Court Lady of Nihongi,日本紀の御局
Nihongi Ryaku,日本紀略
"""Nohon kiryaku""post edit ten",日本紀略後編十
the Japanese Communist Party,日本共産党
Nihonbashi,日本橋
Nihonbashi-no-Shoten-san,日本橋の聖天さん
Nihonbashi Station,日本橋駅
Bank of Japan's D note,日本銀行D銀行券
"Bank of Japan, Kyoto Branch",日本銀行京都支店
a Bank of Japan note,日本銀行券
Award of the Japan Art Academy,日本芸術院賞
Prizes of AIJ (Architectural Institute of Japan),日本建築学会賞
Japanese architectural historian Hakutaro OTA (the ex-Professor of the University of Tokyo),日本建築史家
Japan Atomic Energy Agency Kansai Photon Science Institute,日本原子力研究開発機構関西光科学研究所
"Advanced Photon Research Center, Kansai Research Estabilshment, Japan Atomic Energy Research Institute",日本原子力研究所「関西研究所光量子科学研究センター」
Japanese Classic Literature Systematic Edition,日本古典文学大系
Japanese Classic Literature Systematic Edition,日本古典文学大系本
Nihonkoki ,日本後紀
"unknown or lost writings of ""Nionkoki History Book""",日本後紀逸文
Division of Literacy,日本語リテラシー教育部門
Japanese environment,日本語環境
Japanese Studies,日本語日本文化専攻
Course in Japanese Language and Literature,日本語日本文学コース
Department of Japanese Language and Literature,日本語日本文学科
"Nihon Kotsu Co., Ltd.",日本交通
Nippon Institute of Technology,日本工業大学
"Japan Airlines International Co., Ltd.",日本航空インターナショナル
Nihon kokugaku (studies of (ancient) Japanese literature and culture),日本国学
the Constitution of Japan,日本国憲法
effectuation of the Constitution of Japan,日本国憲法施行
Article eighty eight of Japan's constitution,日本国憲法第88条
Japan National Railways (JNR),日本国有鉄道
Act on Special Measures for Promoting Reconstruction of the Japan National Railway,日本国有鉄道経営 [財政] 再建促進特別措置法
"Japan National Railway (JNR) Nara Line (ｆormer Nara Railway, which was later transferred to Kansai Railway Company)",日本国有鉄道奈良線（旧奈良鉄道&amprarr関西鉄道）
Yamato neko ame no taka yuzuru iya to no mikoto,日本根子天高譲弥遠尊（やまとねこあめのたかゆずるいやとおのみこと）。
Yamato neko ame oshikuni takahiko no mikoto,日本根子天推国高彦尊（やまとねこあめおしくにたかひこのみこと）。
the three most scenic spots in Japan,日本三景
Japan's Three Architectures,日本三建築
Nihon Sandai Jitsuroku,日本三代実録
three major festivals list in Japan,日本三大一覧祭り
Nihon sandai jitsuroku (a history book written in the Heian period),日本三大実録
the Three Grand Pine Groves,日本三大松原
three major beautiful festivals or three major floats festivals in Japan,日本三大美祭及び日本三大曳き山
Japan's three great bells,日本三大名鐘
the Three Great Tenjins of Japan,日本三天神
the three Monju Bosatsu of Japan,日本三文殊菩薩
three outstanding gardens in Japan,日本三名園
"nihon-sangai-meibutsu-zue (a guidebook for special products, consisting of pictures and explanations for them)",日本山海名物図絵
history of Japan,日本史
Course in Japanese History,日本史コース
Japanese History Program,日本史学専攻
General Federation of Private Railway and Bus Workers' Union Japan,日本私鉄労働組合総連合会
Nihon-ji Great Buddha,日本寺大仏
Nissha Printing,日本写真印刷
Japanese liquor (Sake),日本酒
sake brewing business,日本酒業界
sake brewing,日本酒造り
the patriarch of Japanese Confucian,日本儒学の祖
"Japan Akitsu-shima (literally, ""Land of Dragonflies"")",日本秋津島
the Japan Housing Corporation,日本住宅公団
Nippon Decimal Classification (NDC),日本十進分類法 (NDC)
Nihonshoki,日本書紀
Japan Women's University,日本女子大学
Japan Shogi Association,日本将棋連盟
Hinomoto Shogun,日本将軍（ひのもとしょうぐん）
Nihonjo Taxi,日本城タクシー
a founder of Jaoan's Pure Land sect,日本浄土宗の祖
the Japan food warehouse,日本食糧倉庫
"Nippon Shinyaku Co., Ltd.",日本新薬
"Head office of Nippon Shinyaku Co., Ltd.",日本新薬本社
the Nihon Shingonshu Sect,日本真言宗
Japanese Mythology,日本神話
the first Japanese teaching successor to Ingen,日本人初の隠元の嗣法者
"St. Agnes' Episcopal Church (Anglican), Kyoto",日本聖公会 聖アグネス教会
The Diocese of Kyoto,日本聖公会京都教区
"St. Agnes' Episcopal Church (Anglican), Kyoto",日本聖公会京都教区主教座聖堂聖アグネス教会
"Kyoto church of the Resurrection, the Nippon Sei Ko Kai (Anglican Episcopal Church in Japan)",日本聖公会京都復活教会
Japanese Red Cross Society,日本赤十字社
President of Japanese Red Cross Society,日本赤十字社社長
The Japan Red Cross Hospital,日本赤十字病院
Nippon Senbaikosha (Japan Tobacco and Salt Public Corporation) Okayama,日本専売公社岡山
"History of Japanese Warfare, Sekihara-no-eki",日本戦史・関原役
Japanese plenipotentiary,日本全権
"Nihon So-tsuibushi (job title which has rights of government, military affair and police authority)",日本総追捕使
Nihon-daiko junior contest in Tokyo (Japanese drum contest for young persons in Tokyo),日本太鼓ジュニアコンクール東京大会
Japan Taiko Association,日本太鼓協会
the Japanese team,日本代表チーム
Nihon University,日本大学
Nihon Takagari Club (Japan falconry club),日本鷹狩クラブ
Nihon Takagari-bunka Hozonkai (Japan falconry preservation society),日本鷹狩文化保存会
Nihon Daruma sect,日本達磨宗
Japanese tea,日本茶
Nihoncha adviser,日本茶アドバイザー
Nihoncha instructor,日本茶インストラクター
high-class brand of Japanese tea,日本茶の高級ブランド
Japan Tea Industry Central Association,日本茶業中央会
Japan Racing Association,日本中央競馬会
jockey of the Japan Association for International Horse Racing,日本中央競馬会騎手
"Nippon Express Co., Ltd.",日本通運
"International　Transport Departpment, Maizuru Marine Transport Office, Nippon Express Co., Ltd.",日本通運舞鶴海運支店
Nippon Railway,日本鉄道会社
Japan Railway Engineer's Association (JREA),日本鉄道技術協会
Japan Railway Construction Public Corporation (JRCC),日本鉄道建設公団
Japan Railway Construction Public Corporation,日本鉄道建設公団方式
Association of Railway Archtects prizes,日本鉄道建築協会賞
Nihon Tendai sect,日本天台宗
NEC Corporation,日本電気
"Kansai Research Laboratory, NEC Corporation",日本電気（株）「関西研究所」
Nippon Telegraph and Telephone Corporation,日本電信電話
"NTT Communication Science Laboratories, Nippon Telegraph and Telephone Corporation",日本電信電話「NTTコミュニケーション科学基礎研究所」
Nippon Telegraph and Telephone Public Corporation,日本電信電話公社
All Japan Municipal Transport Workers' Union,日本都市交通労働組合
a Japanese sword,日本刀
sword connoisseur,日本刀の鑑定
tuka (grip) of Japanese sword,日本刀の柄
sword polishing,日本刀研磨研磨の工程
period of Japan's rule,日本統治時代
Japan Road Association,日本道路協会
Japan Highway Public Corporation,日本道路公団
Twenty-six Martyrs of Japan,日本二十六聖人
The Association for Japanese Noh Plays,日本能楽会
Japan Equestrian Federation ,日本馬術連盟
Japan Electric Generation and Transmission Company,日本発送電（株）
Japanese coiffure,日本髪
"Nippon Sheet Glass Co., Ltd.",日本板硝子
"Nippon Sheet Glass Co., Ltd. Maizuru Plant",日本板硝子舞鶴工場
"Maizuru Office, NSG",日本板硝子舞鶴事業所
Nippon Art College,日本美術 (専門) 学校
Japanese art history,日本美術史
The Japan Fine Arts Exhibition,日本美術展覧会
Japanese a hundred Deity of Mercy,日本百観音
one hundred top mountains of Japan,日本百名山
Japanese martial art,日本武術
YAMATO Takeru no Mikoto,日本武尊
Classical Japanese dance,日本舞踊
Japanese Buddhism,日本仏教
History of Japanese Buddhism,日本仏教史学
Nihon Montoku Tenno Jitsuroku ,日本文徳天皇実録
Japan Broadcasting Corporation,日本放送協会
NHK Drama D Mode,日本放送協会ドラマDモード
Kyoto broadcast station of Japan Broadcasting Corporation,日本放送協会京都放送局
Nihon Hoyo Kyokai (Japan falconry association),日本放鷹協会
Nihon Hoyo Club (Japan falconry Club),日本放鷹倶楽部
the Japan World Exposition '70 (Expo '70),日本万国博覧会
Nihon Migei Undo (Japanese folk art movement),日本民藝運動
"Nippon Yakin Kogyo Co., Ltd.",日本冶金工業
"Nippon Yusoki Co., Ltd.",日本輸送機
Japan Post,日本郵政公社
complete book of monster of Japan,日本妖怪大全
Japabese Army and Navy,日本陸海軍
Nihon school,日本流
"Nippon Travel Agency Co.,Ltd",日本旅行
Nihon Ryoiki ,日本霊異記
the Japanese Islands,日本列島
the relationship between Ming Dynasty and Japan,日明関係
the trade between Japan and the Ming Dynasty in China ,日明貿易
Hino,日野
Hino S'elega,日野・セレガ
Hino Melpha,日野・メルファ
Hino Liesse,日野・リエッセ
Hino Rainbow RB/AB,日野・リエッセレインボーRB・AB系
Hino Rainbow,日野・レインボー
Hino Melpha,日野メルファ
Eishi HINO,日野栄子
Nagatoshi HINO,日野永俊
Hino Family,日野家
Iemune HINO,日野家宗
Yoshisuke HINO,日野義資
Nariko HINO,日野業子
Kanemitsu HINO,日野兼光
Hino Katatsuki (fine tea container),日野肩衝
Hirotsuna HINO,日野広綱
Yasuko HINO,日野康子
Mt. Hino,日野山
Hino City,日野市
the Hino clan,日野氏
a branch of the Hino clan,日野氏傍流
Sukenori HINO,日野資教
Sukenari HINO,日野資業（すけなり）
Sukeyasu HINO,日野資康
Sukekuni HINO,日野資国
Suketomo HINO,日野資朝
Sukenaga HINO,日野資長
Sukena HINO,日野資名
Tokimitsu HINO,日野時光
"Hino Mortors, Ltd.",日野自動車
Tanenori HINO,日野種範
Muneko HINO,日野宗子
Shigemitsu HINO,日野重光
Shigeko HINO,日野重子
Shigemasa HINO,日野重政
Toshimoto HINO,日野俊基
Toshimitsu HINO,日野俊光
Katsumitsu HINO,日野勝光
